"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",26,35483954,1364767,46.98575416410859
"hsa_queue_create",1,19233743,19233743,25.468185429776074
"hsa_amd_memory_async_copy_on_engine",16,10130629,633164,13.414380024328441
"hsa_amd_memory_lock_to_pool",16,7781545,486346,10.303861863504512
"hsa_amd_memory_pool_allocate",7,1658395,236913,2.19594861883168
"hsa_executable_load_agent_code_object",2,373563,186781,0.4946500404889178
"hsa_amd_memory_pool_free",3,349938,116646,0.4633672121398825
"hsa_executable_freeze",2,108427,54213,0.1435726234667028
"hsa_amd_agents_allow_access",3,106525,35508,0.14105410750818997
"hsa_signal_store_screlease",8,85447,10680,0.11314386598687921
"hsa_code_object_reader_create_from_memory",2,37452,18726,0.049591724331346926
"hsa_executable_iterate_symbols",11,25835,2348,0.034209179699357786
"hsa_agent_get_info",57,20258,355,0.0268244459976617
"hsa_signal_create",16,19712,1232,0.02610146507581733
"hsa_isa_get_info_alt",2,13668,6834,0.018098357581994278
"hsa_executable_create_alt",2,13222,6611,0.017507790748399792
"hsa_signal_load_relaxed",110,11839,107,0.015676503907903882
"hsa_iterate_agents",1,9387,9387,0.012429710464016704
"hsa_amd_signal_create",64,8945,139,0.011844440193952211
"hsa_executable_symbol_get_info",125,8138,65,0.01077585850177564
"hsa_amd_agent_iterate_memory_pools",2,7583,3791,0.010040960311988778
"hsa_amd_memory_unlock",16,7351,459,0.009733759627249044
"hsa_amd_pointer_info",15,4231,282,0.005602440073852633
"hsa_amd_memory_copy_engine_status",3,4111,1370,0.005443543167952772
"hsa_executable_get_symbol_by_name",11,2953,268,0.003910188026019104
"hsa_signal_silent_store_relaxed",18,2081,115,0.0027555371764801063
"hsa_signal_destroy",2,1557,778,0.0020616873540507093
"hsa_amd_signal_async_handler",2,1496,748,0.0019809147602182792
"hsa_amd_memory_pool_get_info",19,1469,77,0.0019451629563908104
"hsa_queue_add_write_index_screlease",8,1382,172,0.0018299626996134105
"hsa_agent_iterate_isas",1,948,948,0.0012552855566089097
"hsa_amd_agent_memory_pool_get_info",7,930,132,0.0012314510207239303
"hsa_system_get_info",4,806,201,0.001067257551294073
"hsa_queue_load_read_index_relaxed",8,762,95,0.0010089953524641236
"hsa_queue_load_read_index_scacquire",8,718,89,0.0009507331536341742
"hsa_amd_register_system_event_handler",1,643,643,0.0008514225874467604
"hsa_amd_memory_get_preferred_copy_engine",1,536,536,0.0007097395130193835
"hsa_system_get_major_extension_table",1,387,387,0.0005124425215270548
"hsa_amd_profiling_set_profiler_enabled",1,99,99,0.00013108994736738612
"hsa_dispatch",6,0,0,0.0
